indice_tiempo,ind_burs_metalmec_var_pct
2019-01-01,0.04806916000920691
2019-02-01,0.07886803326557046
2019-03-01,-0.07083738444071586
2019-04-01,-0.11344688496264577
2019-05-01,0.03369712635915745
2019-06-01,0.11442615725196337
2019-07-01,0.11353483450769741
2019-08-01,-0.11327528972368528
2019-09-01,-0.09679002265622272
2019-10-01,-0.056243688117249224
2019-11-01,0.3146064679917162
2019-12-01,0.3680614575736436
2020-01-01,0.3368021451598511
2020-02-01,0.024708361829293812
2020-03-01,-0.16643627944107575
2020-04-01,-0.3087678252930457
2020-05-01,0.33230141744709574
2020-06-01,0.4157700311494872
2020-07-01,0.03497374587278079
2020-08-01,0.07070295805540061
2020-09-01,0.18903273051199054
2020-10-01,-0.01926468158429262
2020-11-01,0.099661534984957
2020-12-01,0.036250279644941985
